t E e M
s erg erg g
3519.48195084086 1.404835358336186e+51 6.18965379682748e+50 1.9902950129620525e+33
3526.2018352673 1.4052423468826319e+51 6.189377616688235e+50 1.9902942906937127e+33
3532.95404191341 1.4056514689626745e+51 6.188864855067342e+50 1.990293567829438e+33
3539.74497707318 1.4060597396766282e+51 6.1885084422653025e+50 1.9902928437772382e+33
3546.58372969734 1.406467699939524e+51 6.1881431634244205e+50 1.990292117671474e+33
3553.46617115485 1.4068785474403974e+51 6.18757938213679e+50 1.9902913899758512e+33
3560.39957999568 1.4072920998564828e+51 6.187041274881301e+50 1.9902906597914927e+33
3567.38647619082 1.4077049676159316e+51 6.186523847905455e+50 1.990289926871453e+33
3574.42569591503 1.4081180693255305e+51 6.185909774172968e+50 1.9902891913783806e+33
3581.51162979492 1.4085344259061342e+51 6.185190175999941e+50 1.9902884539327417e+33
3588.64797168234 1.4089534130191049e+51 6.1844970257605276e+50 1.990287714174563e+33
3595.84642524106 1.40937254282602e+51 6.183867106604907e+50 1.9902869709732833e+33
3603.1061881997 1.4097930919604323e+51 6.18326066512141e+50 1.9902862243701284e+33
3610.42122066265 1.4102171351564296e+51 6.182515810151508e+50 1.990285474737953e+33
3617.80749754026 1.4106443123950564e+51 6.18168069014892e+50 1.9902847202708355e+33
3625.26881749845 1.4110703784743344e+51 6.180857777209178e+50 1.9902839606721798e+33
3632.80045289589 1.4114955471293597e+51 6.1800826203864375e+50 1.9902831967580915e+33
3640.38482198437 1.4119237656741972e+51 6.179274991041122e+50 1.9902824307001305e+33
3648.02453949411 1.4123585556474157e+51 6.178411904825335e+50 1.9902816625720873e+33
3655.71370518403 1.412796088472509e+51 6.177640408482541e+50 1.9902808932399788e+33
3663.44964633924 1.413229332796511e+51 6.1768954216995016e+50 1.990280123137189e+33
3671.24534800022 1.4136525482992566e+51 6.1760364972739256e+50 1.9902793511023286e+33
3679.13988533617 1.4140703807766144e+51 6.175003956549448e+50 1.9902785735197653e+33
3687.16447980575 1.4145015510827756e+51 6.173930215121727e+50 1.9902777875174826e+33
3695.29432721539 1.4149546657971901e+51 6.1729123892477185e+50 1.9902769957814584e+33
3703.46890362415 1.4154270021180488e+51 6.1719946849809984e+50 1.9902762043984e+33
3711.67190770394 1.415893048977357e+51 6.171139797368154e+50 1.9902754151800836e+33
3719.99438495555 1.4163339787630195e+51 6.170100025362625e+50 1.9902746195647647e+33
3728.5931478165 1.4167925330722438e+51 6.168701655904278e+50 1.9902738028764518e+33
3737.58856745164 1.4172924696298746e+51 6.166720796775474e+50 1.990272954080745e+33
3747.07460375393 1.4178289781677924e+51 6.16473692321637e+50 1.990272065289259e+33
3756.76656673656 1.4183280873677443e+51 6.162863422771702e+50 1.990271164476718e+33
3766.02243093179 1.4188133309245303e+51 6.1614585419393194e+50 1.9902703109961473e+33
3775.14936208929 1.4193127913421581e+51 6.1605623586290944e+50 1.990269477014363e+33
3784.22322928071 1.4197945765600314e+51 6.159445825805525e+50 1.9902686538120668e+33
3793.257742682 1.4202549308229996e+51 6.1579219893830206e+50 1.9902678395077718e+33
